dateTime,outTemp,appTemp,outHumidity,dewpoint,heatindex,humidex,altimeter,barometer,pressure,dayRain,monthRain,yearRain,rainRate,windDir,windGust,windGustDir,windSpeed,windSpeed10,windchill,cloudbase,dayET,forecastIcon,forecastRule,sunrise,sunset
1640991603,6.22222222222222,3.69331150337087,57,-1.66166833360636,4.38833333333334,6.22222222222222,1026.64644634819,1027.43016738493,941.661689671655,0,0,0,0,314,1.609344,19,1.609344,1.609344,6.22222222222222,1685.09974826645,0,6,9,1641020340,1641051540
1640995085,6.27777777777778,3.78713559500543,58,-1.37326532061004,4.47555555555555,6.27777777777778,1026.75647903313,1027.36243962176,941.764282790864,0,0,0,0,37,1.609344,37,1.609344,3.218688,6.27777777777778,1656.71105681511,0,6,9,1641020340,1641051540
1640998569,5,2.15696817438635,62,-1.67074763159327,3.17444444444444,5,1026.65200155372,1027.26084797699,941.666869273288,0,0,0,0,5,3.218688,0,3.218688,3.218688,5,1537.19373056275,0,6,9,1641020340,1641051540
1641002053,4.88888888888889,2.65795473540675,62,-1.77583610041553,3.05222222222222,4.88888888888889,1027.08320282345,1027.70107843764,942.068916892898,0,0,0,0,,0,,0,1.609344,4.88888888888889,1536.45945183994,0,6,9,1641020340,1641051540
1641005536,5.27777777777778,2.41092203769145,60,-1.85317793368799,3.42777777777778,5.27777777777778,1026.80354785952,1027.76880620082,941.808169229368,0,0,0,0,88,3.218688,88,3.218688,1.609344,5.27777777777778,1593.30216020381,0,6,9,1641020340,1641051540
1641009022,5.61111111111111,3.35129334392744,58,-1.99882842077926,3.74222222222222,5.61111111111111,1026.87431338352,1027.66721455605,941.87415024994,0,0,0,0,,0,,0,1.609344,5.61111111111111,1651.69972244337,0,6,9,1641020340,1641051540
1641012506,4.88888888888889,1.94649877459068,59,-2.44640293564685,2.97388888888889,4.88888888888889,1026.79463170006,1027.76880620082,941.799855901614,0,0,0,0,283,3.218688,283,3.218688,1.609344,4.88888888888889,1618.21475718927,0,6,9,1641020340,1641051540
1641015990,4.94444444444444,2.63444545220523,59,-2.39415667387816,3.035,4.94444444444444,1026.82152701371,1027.97198949034,941.8249327954,0,0,0,0,,0,,0,1.609344,4.94444444444444,1618.61822528495,0,6,9,1641020340,1641051540
1641019474,5.55555555555556,3.22926986654197,56,-2.52469861592139,3.62888888888889,5.55555555555556,1027.24421446871,1028.58153935893,942.219043070685,0,0,0,0,,0,,0,0,5.55555555555556,1709.04034078218,0,6,9,1641020340,1641051540
1641022958,5.33333333333333,2.69792171930758,57,-2.49412372467399,3.41055555555556,5.33333333333333,1028.15105592617,1029.32654475387,943.064581840699,0,0,0,0,75,1.609344,70,1.609344,1.609344,5.33333333333333,1678.21939331314,0,6,9,1641020340,1641051540
